Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
A1,FIDUCIAL,172.14mm,284.47mm,T,0,
A2,FIDUCIAL,90.64mm,219.47mm,T,0,
C1,C0805,130.14mm,232.47mm,T,-90,1u
C2,C0805,132.64mm,232.47mm,T,-90,1u
C3,C0805,139.14mm,207.97mm,T,180,1u
C4,C0805,111.14mm,213.47mm,T,0,100n
C5,C0805,101.14mm,205.97mm,T,0,1u
C6,C0805,138.64mm,242.97mm,T,0,1u
C7,C0603,126.64mm,253.97mm,T,45,15p
C8,C0603,129.14mm,251.47mm,T,45,15p
C9,C0805,128.14mm,274.47mm,T,0,1u
C10,C0805,142.14mm,270.47mm,T,135,2u2
C11,C0805,143.64mm,271.97mm,T,135,100n
C12,C0805,127.64mm,263.37mm,T,-45,1u
C13,C0805,125.64mm,267.97mm,T,-45,10u
C14,C0805,104.14mm,281.97mm,T,0,
C15,C0805,105.64mm,275.47mm,T,0,
C16,C0805,105.64mm,277.97mm,T,0,
C17,C0805,104.14mm,284.47mm,T,0,
D1,DO214AC,98.14mm,283.47mm,T,180,
LED1,0805_RGB,135.64mm,208.47mm,T,0,
LED2,SML0805,153.14mm,272.97mm,T,0,
LED3,SML0805,107.64mm,233.97mm,T,180,
R1,R0805,134.64mm,212.97mm,T,-90,150
R2,R0805,131.64mm,212.97mm,T,-90,150
R3,R0805,137.64mm,212.97mm,T,-90,150
R4,R0805,111.14mm,210.47mm,T,0,10k
R5,R0805,140.64mm,245.47mm,T,0,2k2
R6,R0805,140.64mm,247.97mm,T,0,2k2
R7,R0805,101.14mm,202.97mm,T,180,10k
R8,R0805,101.14mm,208.97mm,T,0,10k
R9,R0805,128.14mm,276.47mm,T,180,10k
R10,R0805,128.14mm,272.47mm,T,0,10k
R11,R0805,146.14mm,275.97mm,T,-90,1R
R12,R0805,143.14mm,276.47mm,T,0,1R
R13,R0805,128.14mm,278.47mm,T,0,10k
R14,R0805,153.14mm,270.47mm,T,0,1k
R15,R0805,102.64mm,233.97mm,T,0,1k
U3,SOP20-NEW,135.64mm,222.47mm,T,-90,PIC16F1829
U6,32A_ATM,135.64mm,265.97mm,T,45,ATMEGA328-AU
U8,SOT223,110.64mm,280.97mm,T,180,
XTAL1,HC49S-SMD,131.14mm,255.97mm,T,135,
