Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
A1,FIDUCIAL,175.70mm,320.52mm,T,0,
A2,FIDUCIAL,94.20mm,255.52mm,T,0,
C1,C0805,133.70mm,268.52mm,T,-90,1u
C2,C0805,136.20mm,268.52mm,T,-90,1u
C3,C0805,142.70mm,244.02mm,T,180,1u
C4,C0805,114.70mm,249.52mm,T,0,100n
C5,C0805,104.70mm,242.02mm,T,0,1u
C6,C0805,142.20mm,279.02mm,T,0,1u
C7,C0603,130.20mm,290.02mm,T,45,15p
C8,C0603,132.70mm,287.52mm,T,45,15p
C9,C0805,131.70mm,310.52mm,T,0,1u
C10,C0805,145.70mm,306.52mm,T,135,2u2
C11,C0805,147.20mm,308.02mm,T,135,100n
C12,C0805,131.20mm,299.42mm,T,-45,1u
C13,C0805,129.20mm,304.02mm,T,-45,10u
C14,C0805,107.70mm,318.02mm,T,0,
C15,C0805,109.20mm,311.52mm,T,0,
C16,C0805,109.20mm,314.02mm,T,0,
C17,C0805,107.70mm,320.52mm,T,0,
D1,DO214AC,101.70mm,319.52mm,T,180,
LED1,0805_RGB,139.20mm,244.52mm,T,0,
LED2,SML0805,156.70mm,309.02mm,T,0,
LED3,SML0805,111.20mm,270.02mm,T,180,
R1,R0805,138.20mm,249.02mm,T,-90,150
R2,R0805,135.20mm,249.02mm,T,-90,150
R3,R0805,141.20mm,249.02mm,T,-90,150
R4,R0805,114.70mm,246.52mm,T,0,10k
R5,R0805,144.20mm,281.52mm,T,0,2k2
R6,R0805,144.20mm,284.02mm,T,0,2k2
R7,R0805,104.70mm,239.02mm,T,180,10k
R8,R0805,104.70mm,245.02mm,T,0,10k
R9,R0805,131.70mm,312.52mm,T,180,10k
R10,R0805,131.70mm,308.52mm,T,0,10k
R11,R0805,149.70mm,312.02mm,T,-90,1R
R12,R0805,146.70mm,312.52mm,T,0,1R
R13,R0805,131.70mm,314.52mm,T,0,10k
R14,R0805,156.70mm,306.52mm,T,0,1k
R15,R0805,106.20mm,270.02mm,T,0,1k
U3,SOP20-NEW,139.20mm,258.52mm,T,-90,PIC16F1829
U6,32A_ATM,139.20mm,302.02mm,T,45,ATMEGA328-AU
U8,SOT223,114.20mm,317.02mm,T,180,
XTAL1,HC49S-SMD,134.70mm,292.02mm,T,135,
