Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
,,,,,,
C1,C0805,44.50mm,43.00mm,T,-90,1u
C2,C0805,47.00mm,43.00mm,T,-90,1u
C3,C0805,53.50mm,18.50mm,T,180,1u
C4,C0805,25.50mm,24.00mm,T,0,100n
C5,C0805,15.50mm,16.50mm,T,0,1u
C6,C0805,53.00mm,53.50mm,T,0,1u
C7,C0603,41.00mm,64.50mm,T,45,15p
C8,C0603,43.50mm,62.00mm,T,45,15p
C9,C0805,42.50mm,85.00mm,T,0,1u
C10,C0805,56.50mm,81.00mm,T,135,2u2
C11,C0805,58.00mm,82.50mm,T,135,100n
C12,C0805,42.00mm,73.90mm,T,-45,1u
C13,C0805,40.00mm,78.50mm,T,-45,10u
C14,C0805,18.50mm,92.50mm,T,0,
C15,C0805,20.00mm,86.00mm,T,0,
C16,C0805,20.00mm,88.50mm,T,0,
C17,C0805,18.50mm,95.00mm,T,0,
D1,DO214AC,12.50mm,94.00mm,T,180,
FIDUCIAL1,FIDUCIAL,86.50mm,95.00mm,T,0,
FIDUCIAL2,FIDUCIAL,5.00mm,30.00mm,T,0,
LED1,0805_RGB,50.00mm,19.00mm,T,0,
LED2,SML0805,67.50mm,83.50mm,T,0,
LED3,SML0805,22.00mm,44.50mm,T,180,
R1,R0805,49.00mm,23.50mm,T,-90,150
R2,R0805,46.00mm,23.50mm,T,-90,150
R3,R0805,52.00mm,23.50mm,T,-90,150
R4,R0805,25.50mm,21.00mm,T,0,10k
R5,R0805,55.00mm,56.00mm,T,0,2k2
R6,R0805,55.00mm,58.50mm,T,0,2k2
R7,R0805,15.50mm,13.50mm,T,180,10k
R8,R0805,15.50mm,19.50mm,T,0,10k
R9,R0805,42.50mm,87.00mm,T,180,10k
R10,R0805,42.50mm,83.00mm,T,0,10k
R11,R0805,60.50mm,86.50mm,T,-90,1R
R12,R0805,57.50mm,87.00mm,T,0,1R
R13,R0805,42.50mm,89.00mm,T,0,10k
R14,R0805,67.50mm,81.00mm,T,0,1k
R15,R0805,17.00mm,44.50mm,T,0,1k
U3,SOP20-NEW,50.00mm,33.00mm,T,-90,PIC16F1829
U6,32A_ATM,50.00mm,76.50mm,T,45,ATMEGA328-AU
U8,SOT223,25.00mm,91.50mm,T,180,
XTAL1,HC49S-SMD,45.50mm,66.50mm,T,135,
